#,Station,Next Stop,Line,Color,WC,xCoordinate,yCoordinate,Interchange point,End of line?
100,Alser strasse,Michelbeuern - AKH,6,brown,1,493,317,,
101,Michelbeuern - AKH,Waehringer strasse - Volksoper,6,brown,,519,290,,
102,Waehringer strasse - Volksoper,Nussdorfer strasse,6,brown,,548,262,,
103,Nussdorfer strasse,Spittelau,6,brown,,578,231,,
104,Spittelau,Jaegerstrasse,6,brown,1,614,207,"4,6",
105,Jaegerstrasse,Dresdner strasse,6,brown,,661,207,,
106,Dresdner strasse,Handelskai,6,brown,,683,207,,
107,Handelskai,Neue Donau,6,brown,1,720,173,,
108,Neue Donau,Floridsdorf,6,brown,,789,104,,
109,Floridsdorf,,,,1,810,83,,0
