edge_id,station_name,next_station,line_number,line_color,x_coordinate,y_coordinate,edge_travel_time,edge_distance,edge_cost
1087,Tschwerttegasse,Bahnhof Meidling,6,brown,440,781,2.5,2,1
1088,Bahnhof Meidling,Niederhofstrasse,6,brown,479,741,2.5,2,1
1089,Niederhofstrasse,Laengenfeldgasse,6,brown,479,696,2.5,2,1
1090,Laengenfeldgasse,Gumpendorfer strasse,6,brown,479,616,2.5,2,1
1091,Gumpendorfer strasse,Westbahnhof,6,brown,479,559,2.5,2,1
1092,Westbahnhof,Burggasse-Stadthalle,6,brown,479,499,2.5,2,1
1093,Burggasse-Stadthalle,Thaliastrasse,6,brown,479,436,2.5,2,1
1094,Thaliastrasse,Josefstaedter strasse,6,brown,479,397,2.5,2,1
1095,Josefstaedter strasse,Alser strasse,6,brown,479,358,2.5,2,1
1096,Alser strasse,Michelbeuern - AKH,6,brown,493,317,2.5,2,1
1097,Michelbeuern - AKH,Waehringer strasse - Volksoper,6,brown,519,290,2.5,2,1
1098,Waehringer strasse - Volksoper,Nussdorfer strasse,6,brown,548,262,2.5,2,1
1099,Nussdorfer strasse,Spittelau,6,brown,578,231,2.5,2,1
1100,Spittelau,Jaegerstrasse,6,brown,614,207,2.5,2,1
1101,Jaegerstrasse,Dresdner strasse,6,brown,661,207,2.5,2,1
1102,Dresdner strasse,Handelskai,6,brown,683,207,2.5,2,1
1103,Handelskai,Neue Donau,6,brown,720,173,2.5,2,1
1104,Neue Donau,Floridsdorf,6,brown,789,104,2.5,2,1
